fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
CoBank ACB,Medium,15581.36121299651,9249.232197130521,59%
Commerzbank AG,High,19442.638071544658,153.69476460519996,1%
Commerzbank AG,Low,19442.638071544658,12059.471452238906,62%
Commerzbank AG,Medium,19442.638071544658,7229.471854700496,37%
Commonwealth Bank of Australia,High,9050.086333659812,69.18878355424714,1%
Commonwealth Bank of Australia,Low,9050.086333659812,5590.547781206463,62%
Commonwealth Bank of Australia,Medium,9050.086333659812,3390.3497688991074,37%
Cooperatieve Rabobank UA,High,36030.801865009744,3139.0824558290433,9%
Cooperatieve Rabobank UA,Low,36030.801865009744,13003.586477769786,36%
Cooperatieve Rabobank UA,Medium,36030.801865009744,19888.132931410884,55%
DBS Group Holdings Ltd,High,33249.93102786925,150.47772099335182,0%
DBS Group Holdings Ltd,Low,33249.93102786925,21808.03506885993,66%
DBS Group Holdings Ltd,Medium,33249.93102786925,11291.418238015927,34%
Deutsche Bank AG,High,58435.27274328039,2843.553955698445,5%
Deutsche Bank AG,Low,58435.27274328039,26315.683748637566,45%
Deutsche Bank AG,Medium,58435.27274328039,29276.03503894442,50%
Goldman Sachs Group Inc,High,32536.27399162046,662.9318599815317,2%
Goldman Sachs Group Inc,Low,32536.27399162046,18889.812597912456,58%
Goldman Sachs Group Inc,Medium,32536.27399162046,12983.529533726485,40%
HSBC Holdings PLC,High,86791.32295000546,2957.738210241765,3%
HSBC Holdings PLC,Low,86791.32295000546,42943.43088573225,49%
HSBC Holdings PLC,Medium,86791.32295000546,40890.15385403148,47%
ING Groep NV,High,46101.87299316025,2644.258087928369,6%
ING Groep NV,Low,46101.87299316025,19642.367717985002,43%
ING Groep NV,Medium,46101.87299316025,23815.247187246925,52%
IUPAR Itau Unibanco Participacoes SA,High,14154.243806560498,6391.876834658767,45%
IUPAR Itau Unibanco Participacoes SA,Low,14154.243806560498,2728.1488571373206,19%
IUPAR Itau Unibanco Participacoes SA,Medium,14154.243806560498,5034.218114764401,36%
Industrial and Commercial Bank of China Ltd*,High,18943.84838583786,340.9660627985407,2%
Industrial and Commercial Bank of China Ltd*,Low,18943.84838583786,15607.674377980205,82%
Industrial and Commercial Bank of China Ltd*,Medium,18943.84838583786,2995.207945059103,16%
JPMorgan Chase & Co,High,93079.9976494499,5024.401253210153,5%
JPMorgan Chase & Co,Low,93079.9976494499,35522.62999670461,38%
JPMorgan Chase & Co,Medium,93079.9976494499,52532.966399535115,56%
Lloyds Banking Group PLC,High,13066.305884275953,69.18878355424714,1%
Lloyds Banking Group PLC,Low,13066.305884275953,11405.147722246387,87%
Lloyds Banking Group PLC,Medium,13066.305884275953,1591.9693784753101,12%
Mitsubishi UFJ Financial Group Inc,High,156487.94398821608,1642.4504988859985,1%
Mitsubishi UFJ Financial Group Inc,Low,156487.94398821608,128750.25823219182,82%
Mitsubishi UFJ Financial Group Inc,Medium,156487.94398821608,26095.235257137734,17%
Mizuho Financial Group Inc,High,125602.81930905495,828.4267200581602,1%
Mizuho Financial Group Inc,Low,125602.81930905495,102832.80482927704,82%
Mizuho Financial Group Inc,Medium,125602.81930905495,21941.587759719925,17%
Morgan Stanley,High,55024.11922186054,2054.8342344841058,4%
Morgan Stanley,Low,55024.11922186054,47759.87971143202,87%
Morgan Stanley,Medium,55024.11922186054,5209.405275944442,9%
NatWest Group PLC,High,32346.04722454849,158.241374274586,0%
NatWest Group PLC,Low,32346.04722454849,21614.475469158628,67%
NatWest Group PLC,Medium,32346.04722454849,10573.330381115267,33%
National Australia Bank Ltd,High,9097.409332116938,93.61018496144018,1%
National Australia Bank Ltd,Low,9097.409332116938,6064.555498946156,67%
National Australia Bank Ltd,Medium,9097.409332116938,2939.2436482093462,32%
Norinchukin Bank,Low,17532.567283153196,16638.843674147716,95%
Norinchukin Bank,Medium,17532.567283153196,893.7236090054841,5%
Other financial institutions,High,130832.68075939963,13403.921102278935,10%
Other financial institutions,Low,263340.94180004206,179395.42893927437,68%
Other financial institutions,Medium,240128.2116525657,94622.45665889503,39%
Royal Bank of Canada,High,31748.493052754045,111.21909405418599,0%
Royal Bank of Canada,Low,31748.493052754045,10760.09975990311,34%
Royal Bank of Canada,Medium,31748.493052754045,20877.174198796765,66%
Sas Rue La Boetie,High,41764.0692994267,1929.5883380213797,5%
Sas Rue La Boetie,Low,41764.0692994267,30944.883265528966,74%
Sas Rue La Boetie,Medium,41764.0692994267,8889.597695876339,21%
Self-Arranged,High,16405.30695957359,2702.0515254988777,16%
Self-Arranged,Low,16405.30695957359,10720.608055575867,65%
Self-Arranged,Medium,16405.30695957359,2982.647378498843,18%
Societe Generale SA,High,51945.83169311982,1075.2475667732738,2%
Societe Generale SA,Low,51945.83169311982,30732.09879062083,59%
Societe Generale SA,Medium,51945.83169311982,20138.485335725723,39%
Standard Chartered PLC,High,35613.170587709385,1085.8576357288898,3%
Standard Chartered PLC,Low,35613.170587709385,17340.05025146794,49%
Standard Chartered PLC,Medium,35613.170587709385,17187.262700512543,48%
Sumitomo Mitsui Financial Group Inc,High,61194.05299441826,1289.5034928677073,2%
Sumitomo Mitsui Financial Group Inc,Low,61194.05299441826,43318.35349944294,71%
Sumitomo Mitsui Financial Group Inc,Medium,61194.05299441826,16586.19600210762,27%
Sumitomo Mitsui Trust Holdings Inc,High,20913.71829239299,110.80246277534393,1%
Sumitomo Mitsui Trust Holdings Inc,Low,20913.71829239299,20118.564742980936,96%
Sumitomo Mitsui Trust Holdings Inc,Medium,20913.71829239299,684.3510866367076,3%
Toronto-Dominion Bank,High,22111.34725840604,79.22124159235858,0%
Toronto-Dominion Bank,Low,22111.34725840604,8257.460409101992,37%
Toronto-Dominion Bank,Medium,22111.34725840604,13774.66560771167,62%
UBS Group AG,High,101319.75236724484,3129.2014665952547,3%
UBS Group AG,Low,101319.75236724484,47544.85962121708,47%
UBS Group AG,Medium,101319.75236724484,50645.691279432394,50%
US Bancorp,High,11218.865716987559,424.0590837255531,4%
US Bancorp,Low,11218.865716987559,1821.301923910894,16%
US Bancorp,Medium,11218.865716987559,8973.504709351111,80%
Undisclosed Advisor,High,58473.246623029205,14.5669455196238,0%
Undisclosed Advisor,Low,58473.246623029205,26357.410443199162,45%
Undisclosed Advisor,Medium,58473.246623029205,32101.26923431041,55%
UniCredit SpA,High,11998.795208422176,267.1911911655067,2%
UniCredit SpA,Low,11998.795208422176,5187.867254779712,43%
UniCredit SpA,Medium,11998.795208422176,6543.736762476973,55%
United Overseas Bank Ltd,Low,11173.728513019614,9649.267200458582,86%
United Overseas Bank Ltd,Medium,11173.728513019614,1524.4613125610288,14%
Wells Fargo & Co,High,18278.59858091686,79.22124159235858,0%
Wells Fargo & Co,Low,18278.59858091686,5103.021371378091,28%
Wells Fargo & Co,Medium,18278.59858091686,13096.355967946409,72%
Zuercher Kantonalbank*,High,9856.48405307681,95.25955780724061,1%
Zuercher Kantonalbank*,Low,9856.48405307681,2825.8628405716563,29%
Zuercher Kantonalbank*,Medium,9856.48405307681,6935.36165469791,70%
