fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
Bank of Montreal,Medium,14017.005879311471,7988.289455466991,57%
Bank of Nova Scotia,High,15624.299972507397,1206.3221069190565,8%
Bank of Nova Scotia,Low,15624.299972507397,7674.9733925485825,49%
Bank of Nova Scotia,Medium,15624.299972507397,6743.004473039758,43%
Barclays PLC,High,53391.62826274559,463.0980893672627,1%
Barclays PLC,Low,53391.62826274559,18871.372822469,35%
Barclays PLC,Medium,53391.62826274559,34057.15735090933,64%
Bpce SA,High,17337.87913481718,881.4225936460623,5%
Bpce SA,Low,17337.87913481718,9726.981733017641,56%
Bpce SA,Medium,17337.87913481718,6729.474808153449,39%
China Investment Corp*,High,34555.43510247825,806.4890182028516,2%
China Investment Corp*,Low,34555.43510247825,21322.692609016107,62%
China Investment Corp*,Medium,34555.43510247825,12426.253475259307,36%
Citigroup Inc,High,111643.476127079,3181.029405759655,3%
Citigroup Inc,Low,111643.476127079,61407.21873222562,55%
Citigroup Inc,Medium,111643.476127079,47055.22798909384,42%
CoBank ACB,High,13959.34666712667,47.50928175268176,0%
CoBank ACB,Low,13959.34666712667,4988.914128587913,36%
CoBank ACB,Medium,13959.34666712667,8922.923256786087,64%
Commerzbank AG,High,17830.597724330262,153.69476460519996,1%
Commerzbank AG,Low,17830.597724330262,11137.005357371901,62%
Commerzbank AG,Medium,17830.597724330262,6539.89760235313,37%
Commonwealth Bank of Australia,High,8381.522740749446,69.18878355424714,1%
Commonwealth Bank of Australia,Low,8381.522740749446,5471.031067670574,65%
Commonwealth Bank of Australia,Medium,8381.522740749446,2841.302889524629,34%
Cooperatieve Rabobank UA,High,32521.160236449537,2727.2294748313134,8%
Cooperatieve Rabobank UA,Low,32521.160236449537,11384.662331231335,35%
Cooperatieve Rabobank UA,Medium,32521.160236449537,18409.268430386863,57%
DBS Group Holdings Ltd,High,32157.436571075603,150.47772099335182,0%
DBS Group Holdings Ltd,Low,32157.436571075603,21494.037519882826,67%
DBS Group Holdings Ltd,Medium,32157.436571075603,10512.921330199366,33%
Deutsche Bank AG,High,46002.537617341826,2594.3014306813675,6%
Deutsche Bank AG,Low,46002.537617341826,20317.56224092162,44%
Deutsche Bank AG,Medium,46002.537617341826,23090.6739457389,50%
Goldman Sachs Group Inc,High,23502.232080654372,662.9318599815317,3%
Goldman Sachs Group Inc,Low,23502.232080654372,13172.856194069582,56%
Goldman Sachs Group Inc,Medium,23502.232080654372,9666.44402660326,41%
HSBC Holdings PLC,High,71371.30122617596,1997.5503957295946,3%
HSBC Holdings PLC,Low,71371.30122617596,35290.02700095373,49%
HSBC Holdings PLC,Medium,71371.30122617596,34083.72382949273,48%
ING Groep NV,High,40179.60686174247,2644.258087928369,7%
ING Groep NV,Low,40179.60686174247,16932.212525774754,42%
ING Groep NV,Medium,40179.60686174247,20603.136248039376,51%
IUPAR Itau Unibanco Participacoes SA,High,12396.45422292859,5768.425558014606,47%
IUPAR Itau Unibanco Participacoes SA,Low,12396.45422292859,2226.069380357888,18%
IUPAR Itau Unibanco Participacoes SA,Medium,12396.45422292859,4401.959284556088,36%
Industrial and Commercial Bank of China Ltd*,High,17266.053253855796,340.9660627985407,2%
Industrial and Commercial Bank of China Ltd*,Low,17266.053253855796,14119.420848667965,82%
Industrial and Commercial Bank of China Ltd*,Medium,17266.053253855796,2805.666342389282,16%
JPMorgan Chase & Co,High,80353.74521881859,4913.297849183808,6%
JPMorgan Chase & Co,Low,80353.74521881859,29918.645061192507,37%
JPMorgan Chase & Co,Medium,80353.74521881859,45521.802308442195,57%
Lloyds Banking Group PLC,High,11844.221700612283,69.18878355424714,1%
Lloyds Banking Group PLC,Low,11844.221700612283,10324.975556346591,87%
Lloyds Banking Group PLC,Medium,11844.221700612283,1450.0573607114375,12%
Mitsubishi UFJ Financial Group Inc,High,147588.04392672877,1618.2684272439546,1%
Mitsubishi UFJ Financial Group Inc,Low,147588.04392672877,124920.22822089658,85%
Mitsubishi UFJ Financial Group Inc,Medium,147588.04392672877,21049.547278587965,14%
Mizuho Financial Group Inc,High,121224.67712985701,753.4267200581602,1%
Mizuho Financial Group Inc,Low,121224.67712985701,99112.49329776985,82%
Mizuho Financial Group Inc,Medium,121224.67712985701,21358.75711202921,18%
Morgan Stanley,High,44888.95217995345,2054.8342344841058,5%
Morgan Stanley,Low,44888.95217995345,38972.979010846815,87%
Morgan Stanley,Medium,44888.95217995345,3861.138934622514,9%
NatWest Group PLC,High,20699.98373752263,158.241374274586,1%
NatWest Group PLC,Low,20699.98373752263,15086.572828262464,73%
NatWest Group PLC,Medium,20699.98373752263,5455.169534985558,26%
National Australia Bank Ltd,High,8714.158169355775,93.61018496144018,1%
National Australia Bank Ltd,Low,8714.158169355775,6038.816687148825,69%
National Australia Bank Ltd,Medium,8714.158169355775,2581.731297245513,30%
Norinchukin Bank,Low,17516.157978926232,16622.434369920753,95%
Norinchukin Bank,Medium,17516.157978926232,893.7236090054841,5%
Other financial institutions,High,114889.74402262585,11623.544901077414,10%
Other financial institutions,Low,232093.46402170058,159573.8155012897,69%
Other financial institutions,Medium,204765.61492716378,82402.32149733357,40%
Oversea-Chinese Banking Corporation Ltd,High,8467.330107580552,146.32754773210021,2%
Oversea-Chinese Banking Corporation Ltd,Low,8467.330107580552,6197.688745635416,73%
Oversea-Chinese Banking Corporation Ltd,Medium,8467.330107580552,2123.3138142130465,25%
Royal Bank of Canada,High,27633.770435788945,96.3451451942448,0%
Royal Bank of Canada,Low,27633.770435788945,8887.255826874958,32%
Royal Bank of Canada,Medium,27633.770435788945,18650.16946371976,67%
Sas Rue La Boetie,High,35464.0998333022,1667.100932721667,5%
Sas Rue La Boetie,Low,35464.0998333022,26837.942250598055,76%
Sas Rue La Boetie,Medium,35464.0998333022,6959.056649982442,20%
Self-Arranged,High,15113.222184684728,2702.0515254988777,18%
Self-Arranged,Low,15113.222184684728,10010.707203787708,66%
Self-Arranged,Medium,15113.222184684728,2400.4634553981396,16%
Societe Generale SA,High,40526.409189614744,986.105701190482,2%
Societe Generale SA,Low,40526.409189614744,24622.15821367021,61%
Societe Generale SA,Medium,40526.409189614744,14918.145274754066,37%
Standard Chartered PLC,High,29375.3478150966,990.1639664925635,3%
Standard Chartered PLC,Low,29375.3478150966,14138.367232408431,48%
Standard Chartered PLC,Medium,29375.3478150966,14246.816616195556,48%
Sumitomo Mitsui Financial Group Inc,High,55882.67041903628,1265.0670557451117,2%
Sumitomo Mitsui Financial Group Inc,Low,55882.67041903628,39994.1549210322,72%
Sumitomo Mitsui Financial Group Inc,Medium,55882.67041903628,14623.448442258992,26%
Sumitomo Mitsui Trust Holdings Inc,High,20856.38258353818,110.80246277534393,1%
Sumitomo Mitsui Trust Holdings Inc,Low,20856.38258353818,20067.58104133563,96%
Sumitomo Mitsui Trust Holdings Inc,Medium,20856.38258353818,677.9990794272024,3%
Toronto-Dominion Bank,High,15278.8201845755,79.22124159235858,1%
Toronto-Dominion Bank,Low,15278.8201845755,6333.698143903671,41%
Toronto-Dominion Bank,Medium,15278.8201845755,8865.900799079478,58%
UBS Group AG,High,72292.04708049328,2622.3389027450094,4%
UBS Group AG,Low,72292.04708049328,34976.76000117206,48%
UBS Group AG,Medium,72292.04708049328,34692.948176576036,48%
US Bancorp,High,9429.65237591039,399.62264660295756,4%
US Bancorp,Low,9429.65237591039,1553.850933067094,16%
US Bancorp,Medium,9429.65237591039,7476.1787962403405,79%
Undisclosed Advisor,High,56983.363669911734,14.5669455196238,0%
Undisclosed Advisor,Low,56983.363669911734,24962.597045883223,44%
Undisclosed Advisor,Medium,56983.363669911734,32006.199678508874,56%
UniCredit SpA,High,10330.05331135026,252.31724230556597,2%
UniCredit SpA,Low,10330.05331135026,4889.318378413234,47%
UniCredit SpA,Medium,10330.05331135026,5188.417690631476,50%
United Overseas Bank Ltd,Low,11072.731560661374,9638.20584872788,87%
United Overseas Bank Ltd,Medium,11072.731560661374,1434.5257119334956,13%
Wells Fargo & Co,High,15765.527174909452,79.22124159235858,1%
Wells Fargo & Co,Low,15765.527174909452,3144.2536246375475,20%
Wells Fargo & Co,Medium,15765.527174909452,12542.05230867954,80%
