fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
HSBC Holdings PLC ↗,High,47625.87167746024,1269.4226534781205,3%
HSBC Holdings PLC ↗,Low,47625.87167746024,22716.819884549957,48%
HSBC Holdings PLC ↗,Medium,47625.87167746024,23639.629139432218,50%
ING Groep NV ↗,High,29191.34766528407,2191.135454161702,8%
ING Groep NV ↗,Low,29191.34766528407,13223.640769230808,45%
ING Groep NV ↗,Medium,29191.34766528407,13776.571441891572,47%
Industrial and Commercial Bank of China Ltd* ↗,High,12822.27306280075,239.24510449964714,2%
Industrial and Commercial Bank of China Ltd* ↗,Low,12822.27306280075,10389.505487260729,81%
Industrial and Commercial Bank of China Ltd* ↗,Medium,12822.27306280075,2193.5224710403677,17%
JPMorgan Chase & Co ↗,High,50902.27051323083,2099.703484725805,4%
JPMorgan Chase & Co ↗,Low,50902.27051323083,18561.85255982516,36%
JPMorgan Chase & Co ↗,Medium,50902.27051323083,30240.714468679867,59%
Mitsubishi UFJ Financial Group Inc ↘,High,109268.7868017792,1008.9950534570454,1%
Mitsubishi UFJ Financial Group Inc ↘,Low,109268.7868017792,92939.99196769453,85%
Mitsubishi UFJ Financial Group Inc ↘,Medium,109268.7868017792,15319.799780627762,14%
Mizuho Financial Group Inc ↘,High,82644.15142835413,470.8975808082881,1%
Mizuho Financial Group Inc ↘,Low,82644.15142835413,72112.14126503166,87%
Mizuho Financial Group Inc ↘,Medium,82644.15142835413,10061.112582514252,12%
Morgan Stanley ↘,High,32267.57087986097,1336.7027184091512,4%
Morgan Stanley ↘,Low,32267.57087986097,29038.639919399637,90%
Morgan Stanley ↘,Medium,32267.57087986097,1892.2282420521847,6%
NatWest Group PLC ↘,High,12753.09822011085,158.241374274586,1%
NatWest Group PLC ↘,Low,12753.09822011085,9948.704488168416,78%
NatWest Group PLC ↘,Medium,12753.09822011085,2646.1523576678437,21%
National Australia Bank Ltd ↗,High,7641.960401971918,72.15012364181948,1%
National Australia Bank Ltd ↗,Low,7641.960401971918,5591.481150763161,73%
National Australia Bank Ltd ↗,Medium,7641.960401971918,1978.3291275669455,26%
Norinchukin Bank ↘,Low,13869.639713582397,13631.649194092035,98%
Norinchukin Bank ↘,Medium,13869.639713582397,237.9905194903626,2%
Other financial institutions,High,107247.6632466284,13866.642643807721,13%
Other financial institutions,Low,192692.05560231648,139658.83453566616,72%
Other financial institutions,Medium,162960.0888873468,58719.89992924658,36%
Royal Bank of Canada ↗,High,17728.156355298754,64.57778659702662,0%
Royal Bank of Canada ↗,Low,17728.156355298754,7900.986522208909,45%
Royal Bank of Canada ↗,Medium,17728.156355298754,9762.592046492819,55%
Sas Rue La Boetie ↗,High,21407.137882353432,830.0351087525986,4%
Sas Rue La Boetie ↗,Low,21407.137882353432,16783.807469098636,78%
Sas Rue La Boetie ↗,Medium,21407.137882353432,3793.2953045022105,18%
Self-Arranged ↗,High,12736.690275839686,2031.6576865650861,16%
Self-Arranged ↗,Low,12736.690275839686,9144.639131378963,72%
Self-Arranged ↗,Medium,12736.690275839686,1560.393457895637,12%
Societe Generale SA ↗,High,25286.953055692178,785.82754115119,3%
Societe Generale SA ↗,Low,25286.953055692178,14524.481165211886,57%
Societe Generale SA ↗,Medium,25286.953055692178,9976.64434932908,39%
Standard Chartered PLC ↗,High,19272.42557053927,787.3262410332969,4%
Standard Chartered PLC ↗,Low,19272.42557053927,9527.526850153046,49%
Standard Chartered PLC ↗,Medium,19272.42557053927,8957.572479352906,46%
Sumitomo Mitsui Financial Group Inc ↘,High,40725.89162987115,1141.3683099590173,3%
Sumitomo Mitsui Financial Group Inc ↘,Low,40725.89162987115,30227.05529586571,74%
Sumitomo Mitsui Financial Group Inc ↘,Medium,40725.89162987115,9357.46802404643,23%
Sumitomo Mitsui Trust Holdings Inc ↘,High,16712.43255611769,92.33017091668948,1%
Sumitomo Mitsui Trust Holdings Inc ↘,Low,16712.43255611769,16067.155570557597,96%
Sumitomo Mitsui Trust Holdings Inc ↘,Medium,16712.43255611769,552.9468146433999,3%
Toronto-Dominion Bank ↗,High,10623.426556775617,79.22124159235858,1%
Toronto-Dominion Bank ↗,Low,10623.426556775617,5210.931812014402,49%
Toronto-Dominion Bank ↗,Medium,10623.426556775617,5333.27350316886,50%
UBS Group AG ↗,High,50677.23781790496,1177.3072825311194,2%
UBS Group AG ↗,Low,50677.23781790496,25317.378980715926,50%
UBS Group AG ↗,Medium,50677.23781790496,24182.551554657995,48%
US Bancorp ↘,High,6993.518338219449,314.2130366762771,4%
US Bancorp ↘,Low,6993.518338219449,956.8642245017854,14%
US Bancorp ↘,Medium,6993.518338219449,5722.441077041384,82%
Undisclosed Advisor ↗,Low,32318.092981989837,8746.260154261963,27%
Undisclosed Advisor ↗,Medium,32318.092981989837,23571.83282772787,73%
UniCredit SpA ↗,High,8498.62458130126,207.84303584939562,2%
UniCredit SpA ↗,Low,8498.62458130126,4734.941239231203,56%
UniCredit SpA ↗,Medium,8498.62458130126,3555.840306220668,42%
United Overseas Bank Ltd ↗,Low,9010.640646452033,8041.8363957827905,89%
United Overseas Bank Ltd ↗,Medium,9010.640646452033,968.8042506692474,11%
Wells Fargo & Co ↗,High,12301.71289876567,79.22124159235858,1%
Wells Fargo & Co ↗,Low,12301.71289876567,2070.983050618921,17%
Wells Fargo & Co ↗,Medium,12301.71289876567,10151.508606554391,83%
