fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
Bank of America Corp,Medium,57812.13722226147,31936.116499884,55%
Bank of Montreal,High,11213.681832153614,216.22210640653745,2%
Bank of Montreal,Low,11213.681832153614,5304.962562068596,47%
Bank of Montreal,Medium,11213.681832153614,5692.497163678477,51%
Bank of Nova Scotia,High,13855.714815203703,802.114234240917,6%
Bank of Nova Scotia,Low,13855.714815203703,7001.522485054308,51%
Bank of Nova Scotia,Medium,13855.714815203703,6052.078095908479,44%
Barclays PLC,High,42863.22160574507,371.7317265727803,1%
Barclays PLC,Low,42863.22160574507,15588.652650915621,36%
Barclays PLC,Medium,42863.22160574507,26902.83722825669,63%
Bpce SA,High,14195.712170986733,676.0533323283863,5%
Bpce SA,Low,14195.712170986733,8334.799253960504,59%
Bpce SA,Medium,14195.712170986733,5184.859584697837,37%
China Investment Corp*,High,29994.43970066564,778.7858014362118,3%
China Investment Corp*,Low,29994.43970066564,18912.836216809144,63%
China Investment Corp*,Medium,29994.43970066564,10302.817682420291,34%
Citigroup Inc,High,83676.90536501218,2467.80850537195,3%
Citigroup Inc,Low,83676.90536501218,46390.89044259576,55%
Citigroup Inc,Medium,83676.90536501218,34818.20641704452,42%
CoBank ACB,High,12411.22574549738,46.06515403543545,0%
CoBank ACB,Low,12411.22574549738,4753.389577484915,38%
CoBank ACB,Medium,12411.22574549738,7611.77101397704,61%
Commerzbank AG,High,13023.637178719118,126.88849853895398,1%
Commerzbank AG,Low,13023.637178719118,7696.84657958681,59%
Commerzbank AG,Medium,13023.637178719118,5199.902100593343,40%
Commonwealth Bank of Australia,High,7439.0668801515685,69.18878355424714,1%
Commonwealth Bank of Australia,Low,7439.0668801515685,4859.321074593765,65%
Commonwealth Bank of Australia,Medium,7439.0668801515685,2510.557022003562,34%
Cooperatieve Rabobank UA,High,27961.038266260915,2654.026831891855,9%
Cooperatieve Rabobank UA,Low,27961.038266260915,10061.853874961704,36%
Cooperatieve Rabobank UA,Medium,27961.038266260915,15245.157559407346,55%
DBS Group Holdings Ltd,High,27773.54749268792,135.65695062531782,0%
DBS Group Holdings Ltd,Low,27773.54749268792,18377.496118077397,66%
DBS Group Holdings Ltd,Medium,27773.54749268792,9260.394423985168,33%
Deutsche Bank AG,High,36665.51708657078,2124.492093189656,6%
Deutsche Bank AG,Low,36665.51708657078,15197.34586446892,41%
Deutsche Bank AG,Medium,36665.51708657078,19343.67912891216,53%
Goldman Sachs Group Inc,High,15589.50654298347,506.56111005919246,3%
Goldman Sachs Group Inc,Low,15589.50654298347,7698.390407237253,49%
Goldman Sachs Group Inc,Medium,15589.50654298347,7384.555025687019,47%
HSBC Holdings PLC,High,58600.65321630412,1424.606704552334,2%
HSBC Holdings PLC,Low,58600.65321630412,28437.09205476841,49%
HSBC Holdings PLC,Medium,58600.65321630412,28738.9544569835,49%
ING Groep NV,High,34358.42245886234,2554.440291609071,7%
ING Groep NV,Low,34358.42245886234,14606.592511986488,43%
ING Groep NV,Medium,34358.42245886234,17197.389655266797,50%
IUPAR Itau Unibanco Participacoes SA,High,9361.383641097842,3938.676465709927,42%
IUPAR Itau Unibanco Participacoes SA,Low,9361.383641097842,2223.08898290062,24%
IUPAR Itau Unibanco Participacoes SA,Medium,9361.383641097842,3199.6181924872894,34%
Industrial and Commercial Bank of China Ltd*,High,14266.987948641465,291.94783291778225,2%
Industrial and Commercial Bank of China Ltd*,Low,14266.987948641465,11368.646011327884,80%
Industrial and Commercial Bank of China Ltd*,Medium,14266.987948641465,2606.39410439579,18%
JPMorgan Chase & Co,High,62518.15875512034,3935.97024275707,6%
JPMorgan Chase & Co,Low,62518.15875512034,22946.813807519553,37%
JPMorgan Chase & Co,Medium,62518.15875512034,35635.374704843736,57%
Japan Bank for International Cooperation*,High,6567.374026851262,43.990798480888245,1%
Japan Bank for International Cooperation*,Low,6567.374026851262,5948.085394457787,91%
Japan Bank for International Cooperation*,Medium,6567.374026851262,575.2978339125881,9%
Lloyds Banking Group PLC,High,8310.652350564676,69.18878355424714,1%
Lloyds Banking Group PLC,Low,8310.652350564676,7143.830752498291,86%
Lloyds Banking Group PLC,Medium,8310.652350564676,1097.6328145121427,13%
Mitsubishi UFJ Financial Group Inc,High,127774.84392744987,1160.2586919752562,1%
Mitsubishi UFJ Financial Group Inc,Low,127774.84392744987,109166.73199449615,85%
Mitsubishi UFJ Financial Group Inc,Medium,127774.84392744987,17447.853240978446,14%
Mizuho Financial Group Inc,High,102627.51371334017,518.8111577106059,1%
Mizuho Financial Group Inc,Low,102627.51371334017,85477.18247306946,83%
Mizuho Financial Group Inc,Medium,102627.51371334017,16631.52008256028,16%
Morgan Stanley,High,35858.113009545275,1650.8283362185616,5%
Morgan Stanley,Low,35858.113009545275,31683.21320126881,88%
Morgan Stanley,Medium,35858.113009545275,2524.071472057881,7%
NatWest Group PLC,High,15066.714310999354,158.241374274586,1%
NatWest Group PLC,Low,15066.714310999354,11283.313074019323,75%
NatWest Group PLC,Medium,15066.714310999354,3625.1598627054373,24%
National Australia Bank Ltd,High,8188.370095535589,93.61018496144018,1%
National Australia Bank Ltd,Low,8188.370095535589,5828.415034583989,71%
National Australia Bank Ltd,Medium,8188.370095535589,2266.3448759901676,28%
Norinchukin Bank,Low,15725.994172628685,15036.74170780893,96%
Norinchukin Bank,Medium,15725.994172628685,689.2524648197546,4%
Other financial institutions,High,96452.55941790574,8956.131859684669,9%
Other financial institutions,Low,197455.49928506464,139321.87102131662,71%
Other financial institutions,Medium,172780.08855021012,68015.74793432317,39%
Royal Bank of Canada,High,22022.63280330144,95.67121892619652,0%
Royal Bank of Canada,Low,22022.63280330144,8516.620362270329,39%
Royal Bank of Canada,Medium,22022.63280330144,13410.34122210493,61%
Sas Rue La Boetie,High,26602.210754669042,1054.4268024072442,4%
Sas Rue La Boetie,Low,26602.210754669042,20794.42178913393,78%
Sas Rue La Boetie,Medium,26602.210754669042,4753.3621631278775,18%
Self-Arranged,High,13434.381303034097,2702.048283911578,20%
Self-Arranged,Low,13434.381303034097,9144.639131378963,68%
Self-Arranged,Medium,13434.381303034097,1587.6938877435534,12%
Societe Generale SA,High,31963.613506357193,855.6664321282893,3%
Societe Generale SA,Low,31963.613506357193,18586.87944598848,58%
Societe Generale SA,Medium,31963.613506357193,12521.067628240404,39%
Standard Chartered PLC,High,22781.247846567152,863.6124730731798,4%
Standard Chartered PLC,Low,22781.247846567152,10663.681626062313,47%
Standard Chartered PLC,Medium,22781.247846567152,11253.953747431618,49%
Sumitomo Mitsui Financial Group Inc,High,48146.23646986399,1237.185350125042,3%
Sumitomo Mitsui Financial Group Inc,Low,48146.23646986399,34682.741316065214,72%
Sumitomo Mitsui Financial Group Inc,Medium,48146.23646986399,12226.309803673696,25%
Sumitomo Mitsui Trust Holdings Inc,High,18792.591850105026,99.2678689128346,1%
Sumitomo Mitsui Trust Holdings Inc,Low,18792.591850105026,18032.376385851516,96%
Sumitomo Mitsui Trust Holdings Inc,Medium,18792.591850105026,660.9475953406715,4%
Toronto-Dominion Bank,High,12912.480387044365,79.22124159235858,1%
Toronto-Dominion Bank,Low,12912.480387044365,5699.520547718258,44%
Toronto-Dominion Bank,Medium,12912.480387044365,7133.738597733749,55%
UBS Group AG,High,59856.62108769651,1669.7138474838107,3%
UBS Group AG,Low,59856.62108769651,29006.11094252801,48%
UBS Group AG,Medium,59856.62108769651,29180.79629768472,49%
US Bancorp,High,7824.966554508513,398.17851888571124,5%
US Bancorp,Low,7824.966554508513,1194.7087143703582,15%
US Bancorp,Medium,7824.966554508513,6232.079321252442,80%
Undisclosed Advisor,Low,51780.02276968638,22949.635370306423,44%
Undisclosed Advisor,Medium,51780.02276968638,28830.387399379953,56%
UniCredit SpA,High,9895.596296756548,236.82254566948367,2%
UniCredit SpA,Low,9895.596296756548,4796.390193370717,48%
UniCredit SpA,Medium,9895.596296756548,4862.3835577163545,49%
United Overseas Bank Ltd,Low,9446.120056174861,8147.719785474135,86%
United Overseas Bank Ltd,Medium,9446.120056174861,1298.4002707007303,14%
Wells Fargo & Co,High,14104.47370680845,79.22124159235858,1%
Wells Fargo & Co,Low,14104.47370680845,2639.7429366952115,19%
Wells Fargo & Co,Medium,14104.47370680845,11385.509528520877,81%
