country_commodity_case,boundary_period,defn_phase_out,total_usd_m_high_conf,total_usd_m_medium_conf,total_usd_m_low_conf,total_usd_m
colombia_cattle_meat,0,FALSE,818.1483218027172,5044.377258118798,0,5862.525579921515
colombia_cattle_meat,0,TRUE,818.1483218027172,4701.329752161068,0,5519.478073963785
colombia_cattle_meat,1,FALSE,1266.2622069450695,6180.021153044376,0,7446.283359989446
colombia_cattle_meat,1,TRUE,1266.2622069450695,5836.973647086646,0,7103.235854031716
colombia_cattle_meat,2,FALSE,1808.3334243866645,10102.915450230823,0,11911.248874617488
colombia_cattle_meat,2,TRUE,1808.3334243866645,9573.891623099742,0,11382.225047486407
colombia_cattle_meat,3,FALSE,2987.9574087265637,11101.922442935072,0,14089.879851661637
colombia_cattle_meat,3,TRUE,2987.9574087265637,10572.898615803992,0,13560.856024530556
colombia_cocoa_beans,0,FALSE,0,0,0,0
colombia_cocoa_beans,0,TRUE,0,0,0,0
colombia_cocoa_beans,1,FALSE,0,0,0,0
colombia_cocoa_beans,1,TRUE,0,0,0,0
colombia_cocoa_beans,2,FALSE,0,0,0,0
colombia_cocoa_beans,2,TRUE,0,0,0,0
colombia_cocoa_beans,3,FALSE,0,0,0,0
colombia_cocoa_beans,3,TRUE,0,0,0,0
colombia_coffee_green,0,FALSE,16819.202945354897,17241.31437527661,75524.18395341528,109584.70127404679
colombia_coffee_green,0,TRUE,16819.202945354897,17241.31437527661,75524.18395341528,109584.70127404679
colombia_coffee_green,1,FALSE,17059.693726049718,18546.253816487148,82960.898943093,118566.84648562985
colombia_coffee_green,1,TRUE,17059.693726049718,18546.253816487148,82960.898943093,118566.84648562985
colombia_coffee_green,2,FALSE,17786.112294608247,20339.651865460524,92732.62262229095,130858.38678235971
colombia_coffee_green,2,TRUE,17786.112294608247,20339.651865460524,92732.62262229095,130858.38678235971
colombia_coffee_green,3,FALSE,17903.169408190985,21001.3480115361,106364.1950606386,145268.71248036568
colombia_coffee_green,3,TRUE,17903.169408190985,21001.3480115361,106364.1950606386,145268.71248036568
ecuador_cocoa_beans,0,FALSE,303.7731835383475,174891.86004068726,75816.50845677323,251012.14168099884
ecuador_cocoa_beans,0,TRUE,303.7731835383475,174891.86004068726,75816.50845677323,251012.14168099884
ecuador_cocoa_beans,1,FALSE,303.7731835383475,236978.37554059803,89248.32686560784,326530.4755897442
ecuador_cocoa_beans,1,TRUE,303.7731835383475,236978.37554059803,89248.32686560784,326530.4755897442
ecuador_cocoa_beans,2,FALSE,303.7731835383475,288932.0814271606,106968.1110606218,396203.96567132074
ecuador_cocoa_beans,2,TRUE,303.7731835383475,288932.0814271606,106968.1110606218,396203.96567132074
ecuador_cocoa_beans,3,FALSE,303.7731835383475,319305.6675713235,108540.40480325028,428149.84555811214
ecuador_cocoa_beans,3,TRUE,303.7731835383475,319305.6675713235,108540.40480325028,428149.84555811214
peru_cocoa_beans,0,FALSE,0,15787.825298756681,0,15787.825298756681
peru_cocoa_beans,0,TRUE,0,2402.4067180321945,0,2402.4067180321945
peru_cocoa_beans,1,FALSE,0,16787.937419190614,0,16787.937419190614
peru_cocoa_beans,1,TRUE,0,2402.4067180321945,0,2402.4067180321945
peru_cocoa_beans,2,FALSE,320.822373854814,19032.44492056433,0,19353.267294419144
peru_cocoa_beans,2,TRUE,320.822373854814,2402.4067180321945,0,2723.2290918870085
peru_cocoa_beans,3,FALSE,320.822373854814,19032.44492056433,0,19353.267294419144
peru_cocoa_beans,3,TRUE,320.822373854814,2402.4067180321945,0,2723.2290918870085
peru_coffee_green,0,FALSE,15346.138013504318,52349.09524464882,75862.10349900274,143557.3367571559
peru_coffee_green,0,TRUE,14584.076125282028,50257.99128122808,74318.76454653082,139160.83195304094
peru_coffee_green,1,FALSE,17256.804938904053,57356.29245401485,87089.92308675806,161703.02047967695
peru_coffee_green,1,TRUE,15768.324482123238,54103.64721586705,84816.37644692781,154688.3481449181
peru_coffee_green,2,FALSE,17545.621513913422,63583.72614829514,107395.71903331467,188525.06669552324
peru_coffee_green,2,TRUE,16057.141057132607,59669.38476407165,102942.18291854151,178668.70873974578
peru_coffee_green,3,FALSE,17786.112294608247,67291.96367557463,111356.52325325168,196434.59922343458
peru_coffee_green,3,TRUE,16297.631837827426,63377.62229135108,106902.98713847838,186578.24126765688
